sh_25.64_isced02_2020;sh_25.64_isced3_2020;sh_25.64_isced68_2020;mortality_25.64_2020;fertility_25.64_2020;migration_fr_25.64
6.40387E-05;0.000100341;0.000258114;0.0000252162;0.010590804;-0.008205748
6.66296E-05;8.49068E-05;0.000216891;0.0000224955;0.009448112;-0.007320391
0.000124612;0.000138481;0.000365202;0.0000441284;0.018533908;-0.01436006
5.83275E-05;0.000113712;0.000316349;0.0000274724;0.011538403;-0.008939947
7.51656E-05;0.000132278;0.000394711;0.0000376916;0.015830465;-0.012265434
4.16472E-05;5.82983E-05;0.000212894;0.0000174523;0.007329951;-0.005679242
4.66191E-05;6.81335E-05;0.000185489;0.000019443;0.008166068;-0.006327064
7.91369E-05;0.000104689;0.000324405;0.0000293968;0.012346648;-0.009566175
8.62327E-05;8.1874E-05;0.000269395;0.0000258134;0.010841639;-0.008400095
5.39214E-05;6.44649E-05;0.000155206;0.000018514;0.00777588;-0.006024747
0.000106008;8.19423E-05;0.000249938;0.0000258134;0.010841639;-0.008400095
9.37036E-05;0.000115933;0.00031933;0.0000331129;0.013907398;-0.010775443
0.000109565;0.00012253;0.000338941;0.00003517;0.014771385;-0.01144486
6.28107E-05;8.04921E-05;0.000252911;0.00002296;0.009643206;-0.00747155
0.000123608;0.000119497;0.000360427;0.0000372271;0.015635372;-0.012114276
8.14837E-05;9.08549E-05;0.000354742;0.000028136;0.011817108;-0.009155888
0.000100692;9.83757E-05;0.000273884;0.0000258134;0.010841639;-0.008400095
0.000137823;0.000163054;0.000394761;0.000042403;0.017809274;-0.013798614
9.41874E-05;0.000102536;0.000308294;0.0000282023;0.011844979;-0.009177482
0.000145568;0.000119534;0.000293202;0.00003517;0.014771385;-0.01144486
0.000106116;7.396E-05;0.000312226;0.000031653;0.013294247;-0.010300374
5.64187E-05;9.41618E-05;0.000241537;0.0000216992;0.009113666;-0.007061262
7.88715E-05;0.000116049;0.000377527;0.0000341746;0.014353327;-0.011120948
6.10164E-05;8.50342E-05;0.00030756;0.0000246853;0.01036784;-0.008032996
0.00010661;0.000103305;0.000293616;0.0000279369;0.011733496;-0.009091105
0.000115097;0.000115067;0.000263051;0.0000305912;0.012848318;-0.009954868
0.000111893;7.46635E-05;0.000186936;0.0000214338;0.009002184;-0.006974886
0.000131661;8.28316E-05;0.000183628;0.0000258134;0.010841639;-0.008400095
0.000161421;0.000149925;0.000449802;0.000038687;0.016248524;-0.012589345
0.000107015;9.63084E-05;0.000238957;0.0000275387;0.011566273;-0.008961541
0.000156099;0.000100098;0.000208192;0.0000330465;0.013879528;-0.010753849
0.000146964;9.55638E-05;0.000195286;0.0000334446;0.014046751;-0.010883414
0.00011146;7.60616E-05;0.000202863;0.0000274724;0.011538403;-0.008939947
0.00011171;9.54236E-05;0.000207319;0.0000260789;0.010953121;-0.008486471
0.000134957;8.24327E-05;0.000212836;0.0000275387;0.011566273;-0.008961541
8.96854E-05;7.2102E-05;0.000172723;0.0000217656;0.009141536;-0.007082856
7.61294E-05;6.18526E-05;0.000170792;0.0000204384;0.008584126;-0.006650975
8.46596E-05;7.29923E-05;0.00020961;0.0000232918;0.009782559;-0.00757952
9.44019E-05;7.83576E-05;0.000188487;0.0000222301;0.00933663;-0.007234015
0.000121814;8.14556E-05;0.000187606;0.0000222301;0.00933663;-0.007234015
0.000101408;9.12099E-05;0.00031006;0.0000292641;0.012290907;-0.009522987
0.000129431;0.00011792;0.000335543;0.0000351036;0.014743514;-0.011423265
0.000196469;0.000183791;0.000427559;0.0000467827;0.019648729;-0.015223823
0.000117597;9.23153E-05;0.000213797;0.0000251498;0.010562934;-0.008184154
0.000121383;9.41434E-05;0.000249883;0.0000282023;0.011844979;-0.009177482
0.000126357;9.57323E-05;0.00025185;0.0000307239;0.012904059;-0.009998057
0.000130216;0.000114409;0.00027274;0.0000313875;0.013182764;-0.010213997
0.000107963;0.000100039;0.000305845;0.0000305249;0.012820447;-0.009933274
8.12944E-05;6.93592E-05;0.000176944;0.0000212347;0.008918572;-0.006910104
7.98964E-05;6.17621E-05;0.00022063;0.0000226282;0.009503853;-0.007363579
6.39167E-05;6.1948E-05;0.000182867;0.0000209693;0.00880709;-0.006823728
9.16393E-05;0.000104168;0.000319875;0.0000343737;0.014436939;-0.011185731
4.76654E-05;5.95672E-05;0.000158912;0.0000154615;0.006493835;-0.005031419
0.000114623;0.000116433;0.000329438;0.0000326483;0.013712305;-0.010624285
4.71997E-05;6.30353E-05;0.000199504;0.0000190449;0.007998844;-0.006197499
7.0666E-05;7.09354E-05;0.000231339;0.0000225619;0.009475983;-0.007341985
4.4899E-05;6.25514E-05;0.000181105;0.0000155279;0.006521706;-0.005053013
4.58802E-05;7.04795E-05;0.000204267;0.0000179168;0.007525045;-0.0058304
5.34334E-05;7.50484E-05;0.000219896;0.0000204384;0.008584126;-0.006650975
0.000105546;0.000112623;0.000277119;0.0000338428;0.014213974;-0.011012978
7.71636E-05;8.88624E-05;0.000281492;0.0000235572;0.009894041;-0.007665896
4.54411E-05;6.57574E-05;0.00020323;0.0000199739;0.008389032;-0.006499816
5.3984E-05;8.68227E-05;0.000218954;0.0000231591;0.009726818;-0.007536332
2.72872E-05;5.45177E-05;0.000214791;0.0000150634;0.006326612;-0.004901855
6.47605E-05;0.000112614;0.000393232;0.0000358335;0.01505009;-0.0116608
7.31193E-05;0.000132735;0.000524826;0.0000310557;0.013043412;-0.010106027
0.000101645;0.000118034;0.000356302;0.000035369;0.014854997;-0.011509642
0.000110576;0.000115292;0.00024653;0.0000326483;0.013712305;-0.010624285
9.42274E-05;9.61761E-05;0.000263232;0.0000315203;0.013238505;-0.010257185
6.87631E-05;9.52798E-05;0.000344647;0.0000269415;0.011315438;-0.008767194
7.24334E-05;0.000108948;0.000390569;0.0000347718;0.014604162;-0.011315295
0.000121648;0.000125332;0.00034312;0.0000361653;0.015189443;-0.011768771
0.000121219;0.000138966;0.000372644;0.0000404123;0.016973158;-0.013150791
5.69518E-05;0.00013014;0.000405049;0.0000293304;0.012318778;-0.009544581
6.00857E-05;8.9064E-05;0.000416524;0.0000280696;0.011789237;-0.009134294
4.87496E-05;8.23376E-05;0.000303246;0.0000241545;0.010144876;-0.007860243
6.73827E-05;0.000105817;0.00034124;0.0000308567;0.0129598;-0.010041245
5.04499E-05;5.33019E-05;0.000243466;0.0000186467;0.007831621;-0.006067935
9.15939E-05;9.23067E-05;0.00031057;0.0000263443;0.011064603;-0.008572848
5.91952E-05;5.76885E-05;0.000177678;0.0000185804;0.007803751;-0.006046341
0.000101851;0.000137062;0.000330932;0.000035369;0.014854997;-0.011509642
0.00010935;0.000108356;0.000319673;0.0000305912;0.012848318;-0.009954868
9.81773E-05;9.88397E-05;0.000322166;0.0000324493;0.013628693;-0.010559502
9.39089E-05;9.83416E-05;0.000208343;0.0000278042;0.011677755;-0.009047917
0.000106206;0.000108386;0.000326336;0.00003517;0.014771385;-0.01144486
0.000103586;8.35646E-05;0.000241459;0.0000295295;0.012402389;-0.009609363
0.000106725;0.00011065;0.000299535;0.000029994;0.012597483;-0.009760522
9.4574E-05;0.000100247;0.000297487;0.0000306576;0.012876188;-0.009976462
0.00011586;8.47223E-05;0.000289582;0.0000282687;0.011872849;-0.009199076
9.60028E-05;8.2883E-05;0.000264504;0.0000287332;0.012067943;-0.009350234
7.08414E-05;0.000111257;0.00036504;0.0000276715;0.011622014;-0.009004729
9.79546E-05;8.47109E-05;0.000316531;0.0000280696;0.011789237;-0.009134294
8.4258E-05;9.11855E-05;0.000369209;0.0000260789;0.010953121;-0.008486471
5.2929E-05;0.000104657;0.000307584;0.0000232918;0.009782559;-0.00757952
4.03212E-05;7.1845E-05;0.000322714;0.0000210356;0.00883496;-0.006845322
8.69525E-05;0.000127861;0.000317049;0.0000289323;0.012151554;-0.009415017
6.67771E-05;7.91165E-05;0.000228027;0.0000248181;0.010423581;-0.008076184
7.84375E-05;7.20851E-05;0.000190598;0.0000208365;0.008751349;-0.006780539
4.92763E-05;7.64735E-05;0.000265787;0.0000197085;0.00827755;-0.00641344
8.75356E-05;9.00053E-05;0.000235252;0.0000258798;0.01086951;-0.008421689
0.000102786;7.59903E-05;0.000266952;0.0000270742;0.011371179;-0.008810382
0.000128788;0.000118974;0.000371735;0.0000346391;0.014548421;-0.011272107
7.56627E-05;0.000103403;0.000216651;0.0000253489;0.010646545;-0.008248936
8.98058E-05;0.000101674;0.000325548;0.0000329138;0.013823787;-0.010710661
0.000113086;0.00014921;0.000306139;0.0000392178;0.016471488;-0.012762098
6.12035E-05;5.84007E-05;0.000127367;0.0000212347;0.008918572;-0.006910104
8.58387E-05;8.7984E-05;0.000201004;0.0000284678;0.011956461;-0.009263858
6.05859E-05;6.58071E-05;0.00020294;0.0000173859;0.007302081;-0.005657648
9.95636E-05;0.000128613;0.000382713;0.0000387533;0.016276394;-0.01261094
4.67534E-05;5.52096E-05;0.000174239;0.0000175186;0.007357822;-0.005700836
5.08016E-05;6.25319E-05;0.000168916;0.000015926;0.006688929;-0.005182578
7.7315E-05;8.48064E-05;0.000262942;0.000024619;0.01033997;-0.007429212
0.000104505;0.000129231;0.000299916;0.0000362317;0.015217314;-0.010933558
7.24778E-05;0.000103591;0.000206555;0.0000239554;0.010061264;-0.007228964
5.04258E-05;9.90277E-05;0.000203219;0.0000209693;0.00880709;-0.006327847
5.75388E-05;6.0799E-05;0.000145807;0.0000138026;0.005797072;-0.004165165
0.000161021;0.000229006;0.00045431;0.0000500343;0.021014385;-0.015098722
4.49819E-05;4.23174E-05;0.000135526;0.0000125417;0.005267532;-0.003784693
0.000113922;0.000151902;0.00035195;0.0000373598;0.015691113;-0.01127398
0.000113717;0.000147259;0.000497556;0.0000455882;0.019147059;-0.013757059
6.92887E-05;8.06335E-05;0.000201347;0.0000193767;0.008138197;-0.005847251
8.81401E-05;6.49785E-05;0.000207358;0.0000534185;0.022435783;-0.016119989
6.9117E-05;9.1659E-05;0.000231113;0.0000253489;0.010646545;-0.007649485
8.25862E-05;9.63446E-05;0.000262047;0.0000254816;0.010702287;-0.007689535
0.000102272;0.000120459;0.000323659;0.0000332456;0.013963139;-0.01003244
7.75971E-05;0.000124494;0.000416807;0.0000355681;0.014938608;-0.010733309
0.000125551;0.000143266;0.000390393;0.0000445265;0.018701131;-0.013436661
0.000114875;0.000116035;0.000495256;0.0000415404;0.017446957;-0.012535544
7.15727E-05;0.000124695;0.000390864;0.0000568028;0.02385718;-0.017141255
7.12854E-05;7.1298E-05;0.000282418;0.00005813;0.024414591;-0.017541752
7.67856E-05;8.34725E-05;0.000234882;0.0000267424;0.011231827;-0.008070007
8.54559E-05;8.08925E-05;0.000185029;0.0000245526;0.010312099;-0.007409187
9.40609E-05;0.000105104;0.000237588;0.0000275387;0.011566273;-0.008310305
0.000119064;0.000132857;0.000349262;0.0000378907;0.015914077;-0.011434178
7.47557E-05;5.44403E-05;0.000169861;0.0000203057;0.008528385;-0.006127598
8.42073E-05;0.000101815;0.000267076;0.0000280696;0.011789237;-0.008470503
6.26303E-05;7.51496E-05;0.000205736;0.0000227609;0.009559594;-0.006868517
9.85682E-05;7.35904E-05;0.000168789;0.0000245526;0.010312099;-0.007409187
8.85788E-05;6.16708E-05;0.000140491;0.0000170541;0.007162728;-0.005146382
0.000103637;0.000107089;0.000249694;0.0000295959;0.01243026;-0.008931075
5.7347E-05;0.000102131;0.000215796;0.0000303258;0.012736836;-0.009151348
3.96255E-05;6.19911E-05;0.000122957;0.0000147979;0.00621513;-0.004465537
8.89733E-05;9.72041E-05;0.000271862;0.000030923;0.012987671;-0.009331571
6.77527E-05;6.44537E-05;0.000134216;0.0000167223;0.007023376;-0.005046257
8.10545E-05;8.72223E-05;0.000170905;0.000020372;0.008556255;-0.006147623
7.02647E-05;7.57402E-05;0.000158439;0.0000189122;0.007943103;-0.005707077
7.81745E-05;8.45243E-05;0.000233169;0.0000225619;0.009475983;-0.006808442
8.84759E-05;7.63194E-05;0.000139221;0.000018514;0.00777588;-0.005586928
4.48422E-05;6.448E-05;0.000148916;0.0000149306;0.006270871;-0.004505587
0.000139567;0.000148616;0.000300251;0.000038886;0.016332135;-0.011734551
0.000203116;0.000180559;0.000373691;0.0000461191;0.019370024;-0.013917257
0.000153028;0.000153091;0.000305568;0.0000429339;0.018032238;-0.012956066
