sh_25.64_isced02_2012;sh_25.64_isced3_2012;sh_25.64_isced68_2012;mortality_25.64_2010;fertility_25.64_2010;migration_fr_25.64
0.000209396;0.000107789;0.000213932;2.98715E-05;0.010823569;-0.008205748
0.000213734;8.80E-05;0.000146872;2.66485E-05;0.009655763;-0.007320391
0.000402334;0.000144891;0.000290315;5.22751E-05;0.018941246;-0.01436006
1.61E-04;0.00012964;0.000266857;3.25442E-05;0.011791994;-0.008939947
0.000273666;0.000149878;0.000341648;0.00004465;0.016178388;-0.012265434
1.25E-04;7.60E-05;0.000159998;2.06742E-05;0.007491049;-0.005679242
1.54E-04;7.85E-05;0.000147871;2.30325E-05;0.008345542;-0.006327064
0.000240818;0.000116291;0.000255305;3.48239E-05;0.012618003;-0.009566175
0.00023791;9.01E-05;0.000193178;0.000030579;0.011079917;-0.008400095
0.000239992;7.42E-05;0.000114856;0.000021932;0.007946779;-0.006024747
0.000298334;0.000101279;0.00017193;0.000030579;0.011079917;-0.008400095
0.000306638;0.000116382;0.000257579;0.000039226;0.014213055;-0.010775443
0.000314786;0.000117409;0.000298339;4.16629E-05;0.015096031;-0.01144486
1.96E-04;9.74E-05;0.000197445;2.71988E-05;0.009855145;-0.00747155
0.000362414;0.000149333;0.000287372;4.40998E-05;0.015979006;-0.012114276
0.00025364;9.67E-05;0.00022887;3.33303E-05;0.012076825;-0.009155888
0.000251592;9.81E-05;0.000196729;0.000030579;0.011079917;-0.008400095
0.00039987;0.000169564;0.000312002;5.02313E-05;0.018200686;-0.013798614
0.000294038;9.02E-05;0.000203078;3.34089E-05;0.012105308;-0.009177482
0.000400304;0.000115194;0.000218245;4.16629E-05;0.015096031;-0.01144486
0.000319262;0.000104185;0.00027002;3.74966E-05;0.013586428;-0.010300374
1.84E-04;9.23E-05;0.000184278;2.57052E-05;0.009313966;-0.007061262
0.000283286;0.000132147;0.000259011;4.04837E-05;0.014668785;-0.011120948
0.000205828;9.95E-05;0.000214319;2.92426E-05;0.010595705;-0.008032996
0.000283242;0.000103358;0.000250821;3.30945E-05;0.011991375;-0.009091105
0.00033625;0.000107606;0.000184331;3.62388E-05;0.013130699;-0.009954868
0.000286682;5.59E-05;0.000130856;2.53908E-05;0.009200034;-0.006974886
0.000383826;8.17E-05;0.00013437;0.000030579;0.011079917;-0.008400095
0.000436672;0.000134012;0.000289927;4.58292E-05;0.016605634;-0.012589345
0.000329792;8.43E-05;0.000152938;3.26228E-05;0.011820477;-0.008961541
0.000475822;7.96E-05;0.000167219;3.91474E-05;0.014184572;-0.010753849
0.000443142;0.00010026;0.00016585;0.000039619;0.014355471;-0.010883414
0.000340438;8.11E-05;0.000138641;3.25442E-05;0.011791994;-0.008939947
0.000329794;0.000105556;0.000141703;3.08934E-05;0.011193849;-0.008486471
0.000367504;8.85E-05;0.000156462;3.26228E-05;0.011820477;-0.008961541
0.00025171;6.06E-05;0.000130819;2.57838E-05;0.009342449;-0.007082856
0.000226346;6.06E-05;0.000119252;2.42116E-05;0.008772788;-0.006650975
0.00030098;7.79E-05;0.000130444;2.75918E-05;0.00999756;-0.00757952
0.000233922;7.71E-05;0.000120772;2.63341E-05;0.009541831;-0.007234015
0.000317368;7.90E-05;0.000114583;2.63341E-05;0.009541831;-0.007234015
0.000306192;9.38E-05;0.000200955;3.46667E-05;0.012561037;-0.009522987
0.00039995;0.000120564;0.000242549;4.15843E-05;0.015067548;-0.011423265
0.00051144;0.000172201;0.000286591;5.54195E-05;0.020080569;-0.015223823
0.00032158;7.85E-05;0.000143926;2.97929E-05;0.010795086;-0.008184154
0.00034652;0.000103387;0.000166185;3.34089E-05;0.012105308;-0.009177482
0.00038618;0.000104755;0.00017836;3.63961E-05;0.013187665;-0.009998057
0.000383566;0.000126194;0.000216596;3.71822E-05;0.013472495;-0.010213997
0.000342458;9.10E-05;0.000218921;3.61602E-05;0.013102215;-0.009933274
0.00027896;7.04E-05;0.000118708;2.51549E-05;0.009114585;-0.006910104
0.000243012;7.83E-05;0.000148534;2.68057E-05;0.009712729;-0.007363579
1.98E-04;6.21E-05;0.000141977;2.48405E-05;0.009000652;-0.006823728
0.00030806;0.000126207;0.00025797;4.07196E-05;0.014754234;-0.011185731
1.54E-04;4.68E-05;0.000114981;1.83159E-05;0.006636557;-0.005031419
0.000332688;0.000122718;0.000247978;3.86757E-05;0.014013674;-0.010624285
1.84E-04;7.99E-05;0.000159409;2.25608E-05;0.008174643;-0.006197499
0.00021944;9.54E-05;0.000182567;2.67271E-05;0.009684246;-0.007341985
1.43E-04;5.44E-05;0.000126008;1.83946E-05;0.00666504;-0.005053013
1.71E-04;6.70E-05;0.000159696;2.12245E-05;0.007690431;-0.0058304
1.65E-04;8.61E-05;0.000147859;2.42116E-05;0.008772788;-0.006650975
0.00033086;0.00012179;0.00022111;4.00907E-05;0.014526369;-0.011012978
0.000215426;8.36E-05;0.000205896;2.79063E-05;0.010111492;-0.007665896
1.44E-04;7.68E-05;0.000180256;2.36614E-05;0.008573406;-0.006499816
0.000213456;7.43E-05;0.000196252;2.74346E-05;0.009940594;-0.007536332
9.12E-05;4.94E-05;0.00015925;1.78443E-05;0.006465658;-0.004901855
0.000241986;0.000148722;0.000305919;0.000042449;0.015380862;-0.0116608
1.81E-04;0.000126203;0.000349967;3.67891E-05;0.01333008;-0.010106027
