sh_25.64_isced02_2012;sh_25.64_isced3_2012;sh_25.64_isced68_2012;mortality_25.64_2010;fertility_25.64_2010;migration_fr_25.64
0.000104698;0.000107789;0.000427864;2.98715E-05;0.010823569;-0.008205748
0.000106867;8.80E-05;2.94E-04;2.66485E-05;0.009655763;-0.007320391
0.000201167;0.000144891;0.00058063;5.22751E-05;0.018941246;-0.01436006
8.07E-05;0.00012964;0.000533714;3.25442E-05;0.011791994;-0.008939947
0.000136833;0.000149878;0.000683296;0.00004465;0.016178388;-0.012265434
6.27E-05;7.60E-05;3.20E-04;2.06742E-05;0.007491049;-0.005679242
7.69E-05;7.85E-05;2.96E-04;2.30325E-05;0.008345542;-0.006327064
0.000120409;0.000116291;0.00051061;3.48239E-05;0.012618003;-0.009566175
0.000118955;9.01E-05;3.86E-04;0.000030579;0.011079917;-0.008400095
0.000119996;7.42E-05;2.30E-04;0.000021932;0.007946779;-0.006024747
0.000149167;0.000101279;0.00034386;0.000030579;0.011079917;-0.008400095
0.000153319;0.000116382;0.000515158;0.000039226;0.014213055;-0.010775443
0.000157393;0.000117409;0.000596678;4.16629E-05;0.015096031;-0.01144486
9.81E-05;9.74E-05;3.95E-04;2.71988E-05;0.009855145;-0.00747155
0.000181207;0.000149333;0.000574744;4.40998E-05;0.015979006;-0.012114276
0.00012682;9.67E-05;4.58E-04;3.33303E-05;0.012076825;-0.009155888
0.000125796;9.81E-05;3.93E-04;0.000030579;0.011079917;-0.008400095
0.000199935;0.000169564;0.000624004;5.02313E-05;0.018200686;-0.013798614
0.000147019;9.02E-05;4.06E-04;3.34089E-05;0.012105308;-0.009177482
0.000200152;0.000115194;0.00043649;4.16629E-05;0.015096031;-0.01144486
0.000159631;0.000104185;0.00054004;3.74966E-05;0.013586428;-0.010300374
9.22E-05;9.23E-05;3.69E-04;2.57052E-05;0.009313966;-0.007061262
0.000141643;0.000132147;0.000518022;4.04837E-05;0.014668785;-0.011120948
0.000102914;9.95E-05;4.29E-04;2.92426E-05;0.010595705;-0.008032996
0.000141621;0.000103358;0.000501642;3.30945E-05;0.011991375;-0.009091105
0.000168125;0.000107606;0.000368662;3.62388E-05;0.013130699;-0.009954868
0.000143341;5.59E-05;2.62E-04;2.53908E-05;0.009200034;-0.006974886
0.000191913;8.17E-05;2.69E-04;0.000030579;0.011079917;-0.008400095
0.000218336;0.000134012;0.000579854;4.58292E-05;0.016605634;-0.012589345
0.000164896;8.43E-05;3.06E-04;3.26228E-05;0.011820477;-0.008961541
0.000237911;7.96E-05;3.34E-04;3.91474E-05;0.014184572;-0.010753849
0.000221571;0.00010026;0.0003317;0.000039619;0.014355471;-0.010883414
0.000170219;8.11E-05;2.77E-04;3.25442E-05;0.011791994;-0.008939947
0.000164897;0.000105556;0.000283406;3.08934E-05;0.011193849;-0.008486471
0.000183752;8.85E-05;3.13E-04;3.26228E-05;0.011820477;-0.008961541
0.000125855;6.06E-05;2.62E-04;2.57838E-05;0.009342449;-0.007082856
0.000113173;6.06E-05;2.39E-04;2.42116E-05;0.008772788;-0.006650975
0.00015049;7.79E-05;2.61E-04;2.75918E-05;0.00999756;-0.00757952
0.000116961;7.71E-05;2.42E-04;2.63341E-05;0.009541831;-0.007234015
0.000158684;7.90E-05;2.29E-04;2.63341E-05;0.009541831;-0.007234015
0.000153096;9.38E-05;4.02E-04;3.46667E-05;0.012561037;-0.009522987
0.000199975;0.000120564;0.000485098;4.15843E-05;0.015067548;-0.011423265
0.00025572;0.000172201;0.000573182;5.54195E-05;0.020080569;-0.015223823
0.00016079;7.85E-05;2.88E-04;2.97929E-05;0.010795086;-0.008184154
0.00017326;0.000103387;0.00033237;3.34089E-05;0.012105308;-0.009177482
0.00019309;0.000104755;0.00035672;3.63961E-05;0.013187665;-0.009998057
0.000191783;0.000126194;0.000433192;3.71822E-05;0.013472495;-0.010213997
0.000171229;9.10E-05;4.38E-04;3.61602E-05;0.013102215;-0.009933274
0.00013948;7.04E-05;2.37E-04;2.51549E-05;0.009114585;-0.006910104
0.000121506;7.83E-05;2.97E-04;2.68057E-05;0.009712729;-0.007363579
9.89E-05;6.21E-05;2.84E-04;2.48405E-05;0.009000652;-0.006823728
0.00015403;0.000126207;0.00051594;4.07196E-05;0.014754234;-0.011185731
7.69E-05;4.68E-05;2.30E-04;1.83159E-05;0.006636557;-0.005031419
0.000166344;0.000122718;0.000495956;3.86757E-05;0.014013674;-0.010624285
9.19E-05;7.99E-05;3.19E-04;2.25608E-05;0.008174643;-0.006197499
0.00010972;9.54E-05;3.65E-04;2.67271E-05;0.009684246;-0.007341985
7.17E-05;5.44E-05;2.52E-04;1.83946E-05;0.00666504;-0.005053013
8.56E-05;6.70E-05;3.19E-04;2.12245E-05;0.007690431;-0.0058304
8.27E-05;8.61E-05;2.96E-04;2.42116E-05;0.008772788;-0.006650975
0.00016543;0.00012179;0.00044222;4.00907E-05;0.014526369;-0.011012978
0.000107713;8.36E-05;4.12E-04;2.79063E-05;0.010111492;-0.007665896
7.22E-05;7.68E-05;3.61E-04;2.36614E-05;0.008573406;-0.006499816
0.000106728;7.43E-05;3.93E-04;2.74346E-05;0.009940594;-0.007536332
4.56E-05;4.94E-05;3.19E-04;1.78443E-05;0.006465658;-0.004901855
0.000120993;0.000148722;0.000611838;0.000042449;0.015380862;-0.0116608
9.07E-05;0.000126203;0.000699934;3.67891E-05;0.01333008;-0.010106027
0.000152793;0.000131436;0.000544326;4.18987E-05;0.01518148;-0.011509642
0.000161836;0.00011913;0.00039848;3.86757E-05;0.014013674;-0.010624285
0.000168235;0.000128438;0.000398264;3.73394E-05;0.013529462;-0.010257185
0.000104059;0.000103112;0.000463764;3.19153E-05;0.011564129;-0.008767194
0.000136149;0.000141823;0.000613556;4.11912E-05;0.014925132;-0.011315295
0.000169588;0.000134991;0.000481778;0.000042842;0.015523277;-0.011768771
0.000181228;0.000134296;0.000607068;0.000047873;0.017346194;-0.013150791
9.98E-05;0.000144846;0.000555796;3.47453E-05;0.01258952;-0.009544581
8.81E-05;0.00010786;0.00056274;3.32517E-05;0.012048342;-0.009134294
6.44E-05;0.000105606;0.00047217;2.86138E-05;0.01036784;-0.007860243
0.000113549;0.000130109;0.000597264;3.65533E-05;0.013244631;-0.010041245
7.62E-05;6.80E-05;3.65E-04;2.20892E-05;0.008003745;-0.006067935
0.000127649;9.42E-05;3.86E-04;3.12079E-05;0.011307782;-0.008572848
0.000106683;5.67E-05;2.88E-04;2.20106E-05;0.007975262;-0.006046341
0.000171818;0.000140959;0.000506166;4.18987E-05;0.01518148;-0.011509642
0.000147652;0.000110252;0.000447692;3.62388E-05;0.013130699;-0.009954868
0.000174452;0.000122633;0.00044805;3.84399E-05;0.013928225;-0.010559502
0.00014676;9.17E-05;3.60E-04;3.29373E-05;0.011934409;-0.009047917
0.000175065;0.000118189;0.000582592;4.16629E-05;0.015096031;-0.01144486
0.00016912;0.000110085;0.000364004;3.49811E-05;0.012674969;-0.009609363
0.000147889;0.00010368;0.000416224;3.55314E-05;0.012874351;-0.009760522
0.000161819;0.000110169;0.000446366;3.63175E-05;0.013159182;-0.009976462
0.000161046;8.41E-05;4.05E-04;3.34875E-05;0.012133791;-0.009199076
0.000165774;8.40E-05;4.06E-04;3.40378E-05;0.012333172;-0.009350234
0.000102622;0.000114791;0.0005135;0.00003278;0.011877443;-0.009004729
0.000138154;9.81E-05;4.12E-04;3.32517E-05;0.012048342;-0.009134294
0.000118469;8.88E-05;4.55E-04;3.08934E-05;0.011193849;-0.008486471
7.39E-05;0.000100679;0.000453762;2.75918E-05;0.00999756;-0.00757952
6.99E-05;9.19E-05;4.90E-04;2.49191E-05;0.009029135;-0.006845322
0.000120567;0.000130746;0.000494694;3.42736E-05;0.012418622;-0.009415017
0.00012445;8.87E-05;3.41E-04;2.93998E-05;0.010652671;-0.008076184
0.000104452;7.82E-05;2.30E-04;2.46833E-05;0.008943686;-0.006780539
8.01E-05;7.17E-05;3.82E-04;2.33469E-05;0.008459474;-0.00641344
0.000129903;0.000102752;0.000358456;3.06576E-05;0.0111084;-0.008421689
0.000177573;8.75E-05;3.63E-04;3.20726E-05;0.011621095;-0.008810382
0.000163867;0.000121547;0.000501354;0.000041034;0.014868166;-0.011272107
0.000118595;0.000113615;0.000360664;3.00287E-05;0.010880535;-0.008248936
0.000156504;0.00010782;0.000434954;3.89902E-05;0.014127606;-0.010710661
0.000179551;0.000174518;0.000507336;0.000046458;0.016833499;-0.012762098
0.000117695;6.64E-05;2.56E-04;2.51549E-05;0.009114585;-0.006910104
0.000155751;0.000115427;0.00038236;3.37234E-05;0.01221924;-0.009263858
7.82E-05;6.84E-05;2.99E-04;2.05956E-05;0.007462566;-0.005657648
0.000153372;0.000139521;0.000632068;4.59078E-05;0.016634117;-0.01261094
8.06E-05;6.94E-05;2.79E-04;2.07528E-05;0.007519532;-0.005700836
7.39E-05;5.48E-05;2.24E-04;1.88662E-05;0.006835938;-0.005182578
0.00011937;8.11E-05;4.19E-04;0.000029164;0.010567222;-0.007429212
0.000185162;0.000143642;0.000472388;4.29206E-05;0.01555176;-0.010933558
9.98E-05;0.000117447;0.000350574;2.83779E-05;0.010282391;-0.007228964
8.29E-05;0.000118723;0.000312236;2.48405E-05;0.009000652;-0.006327847
7.86E-05;5.70E-05;1.97E-04;1.63507E-05;0.00592448;-0.004165165
0.000271052;0.000222408;0.000609316;5.92713E-05;0.02147624;-0.015098722
6.57E-05;6.00E-05;1.76E-04;1.48571E-05;0.005383302;-0.003784693
0.000182442;0.000144337;0.000532964;0.000044257;0.016035972;-0.01127398
0.000153345;0.000178189;0.0008969;5.40045E-05;0.019567874;-0.013757059
0.000104064;8.56E-05;2.66E-04;2.29539E-05;0.008317059;-0.005847251
0.00028668;0.00017052;0.00077905;6.32804E-05;0.022928877;-0.016119989
0.00011809;0.000111221;0.00037921;3.00287E-05;0.010880535;-0.007649485
0.000129584;9.37E-05;3.71E-04;3.01859E-05;0.010937502;-0.007689535
0.000166637;0.00012289;0.000497904;3.93832E-05;0.014270022;-0.01003244
0.000118676;0.000147003;0.000705594;4.21345E-05;0.015266929;-0.010733309
0.000236609;0.000185192;0.00059348;5.27468E-05;0.019112145;-0.013436661
0.00016209;0.000140043;0.00080439;4.92094E-05;0.017830406;-0.012535544
0.000197411;0.000224705;0.001073064;6.72895E-05;0.024381514;-0.017141255
0.000243481;0.000192341;0.001058804;6.88617E-05;0.024951176;-0.017541752
0.000133148;9.58E-05;3.91E-04;3.16795E-05;0.01147868;-0.008070007
0.000138903;9.47E-05;2.75E-04;2.90854E-05;0.010538739;-0.007409187
0.000150438;0.000116541;0.000311316;3.26228E-05;0.011820477;-0.008310305
0.00019217;0.000148695;0.000532542;4.48859E-05;0.016263837;-0.011434178
0.00011612;6.26E-05;2.45E-04;2.40544E-05;0.008715822;-0.006127598
0.000145937;0.000119901;0.000432338;3.32517E-05;0.012048342;-0.008470503
0.000111302;9.20E-05;2.93E-04;0.000026963;0.009769695;-0.006868517
0.000145155;7.72E-05;2.28E-04;2.90854E-05;0.010538739;-0.007409187
0.000107234;5.71E-05;1.55E-04;2.02026E-05;0.007320151;-0.005146382
0.0001566;0.000123495;0.000302178;3.50597E-05;0.012703452;-0.008931075
0.000132555;0.000155353;0.000358698;3.59244E-05;0.013016766;-0.009151348
6.63E-05;8.79E-05;1.64E-04;1.75299E-05;0.006351726;-0.004465537
0.000158665;0.000121679;0.000332008;3.66319E-05;0.013273114;-0.009331571
9.28E-05;6.60E-05;2.13E-04;1.98095E-05;0.007177735;-0.005046257
0.000109714;8.39E-05;1.90E-04;0.000024133;0.008744305;-0.006147623
0.000105361;8.01E-05;2.07E-04;2.24036E-05;0.008117677;-0.005707077
0.000111732;9.61E-05;3.13E-04;2.67271E-05;0.009684246;-0.006808442
0.000113871;6.67E-05;1.59E-04;0.000021932;0.007946779;-0.005586928
