sh_25.64_isced02_2012;sh_25.64_isced3_2012;sh_25.64_isced68_2012;mortality_25.64_2010;fertility_25.64_2010;migration_fr_25.64
0.000104698;0.000215578;0.000213932;2.98715E-05;0.010823569;-0.008205748
0.000106867;1.76E-04;0.000146872;2.66485E-05;0.009655763;-0.007320391
0.000201167;0.000289782;0.000290315;5.22751E-05;0.018941246;-0.01436006
8.07E-05;0.00025928;0.000266857;3.25442E-05;0.011791994;-0.008939947
0.000136833;0.000299756;0.000341648;0.00004465;0.016178388;-0.012265434
6.27E-05;1.52E-04;0.000159998;2.06742E-05;0.007491049;-0.005679242
7.69E-05;1.57E-04;0.000147871;2.30325E-05;0.008345542;-0.006327064
0.000120409;0.000232582;0.000255305;3.48239E-05;0.012618003;-0.009566175
0.000118955;1.80E-04;0.000193178;0.000030579;0.011079917;-0.008400095
0.000119996;1.48E-04;0.000114856;0.000021932;0.007946779;-0.006024747
0.000149167;0.000202558;0.00017193;0.000030579;0.011079917;-0.008400095
0.000153319;0.000232764;0.000257579;0.000039226;0.014213055;-0.010775443
0.000157393;0.000234818;0.000298339;4.16629E-05;0.015096031;-0.01144486
9.81E-05;1.95E-04;0.000197445;2.71988E-05;0.009855145;-0.00747155
0.000181207;0.000298666;0.000287372;4.40998E-05;0.015979006;-0.012114276
0.00012682;1.93E-04;0.00022887;3.33303E-05;0.012076825;-0.009155888
0.000125796;1.96E-04;0.000196729;0.000030579;0.011079917;-0.008400095
0.000199935;0.000339128;0.000312002;5.02313E-05;0.018200686;-0.013798614
0.000147019;1.80E-04;0.000203078;3.34089E-05;0.012105308;-0.009177482
0.000200152;0.000230388;0.000218245;4.16629E-05;0.015096031;-0.01144486
0.000159631;0.00020837;0.00027002;3.74966E-05;0.013586428;-0.010300374
9.22E-05;1.85E-04;0.000184278;2.57052E-05;0.009313966;-0.007061262
0.000141643;0.000264294;0.000259011;4.04837E-05;0.014668785;-0.011120948
0.000102914;1.99E-04;0.000214319;2.92426E-05;0.010595705;-0.008032996
0.000141621;0.000206716;0.000250821;3.30945E-05;0.011991375;-0.009091105
0.000168125;0.000215212;0.000184331;3.62388E-05;0.013130699;-0.009954868
0.000143341;1.12E-04;0.000130856;2.53908E-05;0.009200034;-0.006974886
0.000191913;1.63E-04;0.00013437;0.000030579;0.011079917;-0.008400095
0.000218336;0.000268024;0.000289927;4.58292E-05;0.016605634;-0.012589345
0.000164896;1.69E-04;0.000152938;3.26228E-05;0.011820477;-0.008961541
0.000237911;1.59E-04;0.000167219;3.91474E-05;0.014184572;-0.010753849
0.000221571;0.00020052;0.00016585;0.000039619;0.014355471;-0.010883414
0.000170219;1.62E-04;0.000138641;3.25442E-05;0.011791994;-0.008939947
0.000164897;0.000211112;0.000141703;3.08934E-05;0.011193849;-0.008486471
0.000183752;1.77E-04;0.000156462;3.26228E-05;0.011820477;-0.008961541
0.000125855;1.21E-04;0.000130819;2.57838E-05;0.009342449;-0.007082856
0.000113173;1.21E-04;0.000119252;2.42116E-05;0.008772788;-0.006650975
0.00015049;1.56E-04;0.000130444;2.75918E-05;0.00999756;-0.00757952
0.000116961;1.54E-04;0.000120772;2.63341E-05;0.009541831;-0.007234015
0.000158684;1.58E-04;0.000114583;2.63341E-05;0.009541831;-0.007234015
0.000153096;1.88E-04;0.000200955;3.46667E-05;0.012561037;-0.009522987
0.000199975;0.000241128;0.000242549;4.15843E-05;0.015067548;-0.011423265
0.00025572;0.000344402;0.000286591;5.54195E-05;0.020080569;-0.015223823
0.00016079;1.57E-04;0.000143926;2.97929E-05;0.010795086;-0.008184154
0.00017326;0.000206774;0.000166185;3.34089E-05;0.012105308;-0.009177482
0.00019309;0.00020951;0.00017836;3.63961E-05;0.013187665;-0.009998057
0.000191783;0.000252388;0.000216596;3.71822E-05;0.013472495;-0.010213997
0.000171229;1.82E-04;0.000218921;3.61602E-05;0.013102215;-0.009933274
0.00013948;1.41E-04;0.000118708;2.51549E-05;0.009114585;-0.006910104
