sh_25.64_isced02_2012;sh_25.64_isced3_2012;sh_25.64_isced68_2012;mortality_25.64_2010;fertility_25.64_2010;migration_fr_25.64
0.000104698;0;0.000213932;0.0000298715;0.010823569;-0.008205748
0.000106867;0;0.000146872;0.0000266485;0.009655763;-0.007320391
0.000201167;0;0.000290315;0.0000522751;0.018941246;-0.01436006
8.07169E-05;0;0.000266857;0.0000325442;0.011791994;-0.008939947
0.000136833;0;0.000341648;0.00004465;0.016178388;-0.012265434
6.26674E-05;0;0.000159998;0.0000206742;0.007491049;-0.005679242
7.68798E-05;0;0.000147871;0.0000230325;0.008345542;-0.006327064
0.000120409;0;0.000255305;0.0000348239;0.012618003;-0.009566175
0.000118955;0;0.000193178;0.000030579;0.011079917;-0.008400095
0.000119996;0;0.000114856;0.000021932;0.007946779;-0.006024747
0.000149167;0;0.00017193;0.000030579;0.011079917;-0.008400095
0.000153319;0;0.000257579;0.000039226;0.014213055;-0.010775443
0.000157393;0;0.000298339;0.0000416629;0.015096031;-0.01144486
9.80767E-05;0;0.000197445;0.0000271988;0.009855145;-0.00747155
0.000181207;0;0.000287372;0.0000440998;0.015979006;-0.012114276
0.00012682;0;0.00022887;0.0000333303;0.012076825;-0.009155888
0.000125796;0;0.000196729;0.000030579;0.011079917;-0.008400095
0.000199935;0;0.000312002;0.0000502313;0.018200686;-0.013798614
0.000147019;0;0.000203078;0.0000334089;0.012105308;-0.009177482
0.000200152;0;0.000218245;0.0000416629;0.015096031;-0.01144486
0.000159631;0;0.00027002;0.0000374966;0.013586428;-0.010300374
9.21971E-05;0;0.000184278;0.0000257052;0.009313966;-0.007061262
0.000141643;0;0.000259011;0.0000404837;0.014668785;-0.011120948
0.000102914;0;0.000214319;0.0000292426;0.010595705;-0.008032996
0.000141621;0;0.000250821;0.0000330945;0.011991375;-0.009091105
0.000168125;0;0.000184331;0.0000362388;0.013130699;-0.009954868
0.000143341;0;0.000130856;0.0000253908;0.009200034;-0.006974886
0.000191913;0;0.00013437;0.000030579;0.011079917;-0.008400095
0.000218336;0;0.000289927;0.0000458292;0.016605634;-0.012589345
0.000164896;0;0.000152938;0.0000326228;0.011820477;-0.008961541
0.000237911;0;0.000167219;0.0000391474;0.014184572;-0.010753849
0.000221571;0;0.00016585;0.000039619;0.014355471;-0.010883414
0.000170219;0;0.000138641;0.0000325442;0.011791994;-0.008939947
0.000164897;0;0.000141703;0.0000308934;0.011193849;-0.008486471
0.000183752;0;0.000156462;0.0000326228;0.011820477;-0.008961541
0.000125855;0;0.000130819;0.0000257838;0.009342449;-0.007082856
0.000113173;0;0.000119252;0.0000242116;0.008772788;-0.006650975
0.00015049;0;0.000130444;0.0000275918;0.00999756;-0.00757952
0.000116961;0;0.000120772;0.0000263341;0.009541831;-0.007234015
0.000158684;0;0.000114583;0.0000263341;0.009541831;-0.007234015
0.000153096;0;0.000200955;0.0000346667;0.012561037;-0.009522987
0.000199975;0;0.000242549;0.0000415843;0.015067548;-0.011423265
0.00025572;0;0.000286591;0.0000554195;0.020080569;-0.015223823
0.00016079;0;0.000143926;0.0000297929;0.010795086;-0.008184154
0.00017326;0;0.000166185;0.0000334089;0.012105308;-0.009177482
0.00019309;0;0.00017836;0.0000363961;0.013187665;-0.009998057
0.000191783;0;0.000216596;0.0000371822;0.013472495;-0.010213997
0.000171229;0;0.000218921;0.0000361602;0.013102215;-0.009933274
0.00013948;0;0.000118708;0.0000251549;0.009114585;-0.006910104
0.000121506;0;0.000148534;0.0000268057;0.009712729;-0.007363579
9.89204E-05;0;0.000141977;0.0000248405;0.009000652;-0.006823728
0.00015403;0;0.00025797;0.0000407196;0.014754234;-0.011185731
7.68527E-05;0;0.000114981;0.0000183159;0.006636557;-0.005031419
0.000166344;0;0.000247978;0.0000386757;0.014013674;-0.010624285
9.19197E-05;0;0.000159409;0.0000225608;0.008174643;-0.006197499
0.00010972;0;0.000182567;0.0000267271;0.009684246;-0.007341985
7.1674E-05;0;0.000126008;0.0000183946;0.00666504;-0.005053013
8.55841E-05;0;0.000159696;0.0000212245;0.007690431;-0.0058304
8.26509E-05;0;0.000147859;0.0000242116;0.008772788;-0.006650975
0.00016543;0;0.00022111;0.0000400907;0.014526369;-0.011012978
0.000107713;0;0.000205896;0.0000279063;0.010111492;-0.007665896
7.2223E-05;0;0.000180256;0.0000236614;0.008573406;-0.006499816
0.000106728;0;0.000196252;0.0000274346;0.009940594;-0.007536332
4.55806E-05;0;0.00015925;0.0000178443;0.006465658;-0.004901855
0.000120993;0;0.000305919;0.000042449;0.015380862;-0.0116608
